time x -x y z
0.325 -6.83002e-05 6.83002e-05 5.71443e-05 -3.46684e-05
0.326 -6.87805e-05 6.87805e-05 5.75837e-05 -3.49287e-05
0.327 -6.92627e-05 6.92627e-05 5.80251e-05 -3.51901e-05
0.328 -6.97469e-05 6.97469e-05 5.84686e-05 -3.54527e-05
0.329 -7.0233e-05 7.0233e-05 5.89142e-05 -3.57165e-05
0.33 -7.0721e-05 7.0721e-05 5.93618e-05 -3.59815e-05
0.331 -7.12111e-05 7.12111e-05 5.98114e-05 -3.62476e-05
0.332 -7.17031e-05 7.17031e-05 6.02632e-05 -3.6515e-05
0.333 -7.2197e-05 7.2197e-05 6.0717e-05 -3.67835e-05
0.334 -7.2693e-05 7.2693e-05 6.11728e-05 -3.70532e-05
0.335 -7.31908e-05 7.31908e-05 6.16308e-05 -3.73241e-05
0.336 -7.36907e-05 7.36907e-05 6.20908e-05 -3.75962e-05
0.337 -7.41925e-05 7.41925e-05 6.25529e-05 -3.78694e-05
0.338 -7.46963e-05 7.46963e-05 6.30171e-05 -3.81439e-05
0.339 -7.52021e-05 7.52021e-05 6.34834e-05 -3.84195e-05
0.34 -7.57099e-05 7.57099e-05 6.39518e-05 -3.86964e-05
0.341 -7.62196e-05 7.62196e-05 6.44223e-05 -3.89745e-05
0.342 -7.67313e-05 7.67313e-05 6.48948e-05 -3.92537e-05
0.343 -7.7245e-05 7.7245e-05 6.53695e-05 -3.95342e-05
0.344 -7.77607e-05 7.77607e-05 6.58463e-05 -3.98158e-05
0.345 -7.82784e-05 7.82784e-05 6.63252e-05 -4.00987e-05
0.346 -7.8798e-05 7.8798e-05 6.68062e-05 -4.03827e-05
0.347 -7.93197e-05 7.93197e-05 6.72893e-05 -4.0668e-05
0.348 -7.98433e-05 7.98433e-05 6.77745e-05 -4.09545e-05
0.349 -8.03689e-05 8.03689e-05 6.82618e-05 -4.12421e-05
0.35 -8.08966e-05 8.08966e-05 6.87513e-05 -4.1531e-05
0.351 -8.14262e-05 8.14262e-05 6.92428e-05 -4.18212e-05
0.352 -8.19578e-05 8.19578e-05 6.97366e-05 -4.21125e-05
0.353 -8.24914e-05 8.24914e-05 7.02324e-05 -4.2405e-05
0.354 -8.30271e-05 8.30271e-05 7.07304e-05 -4.26988e-05
0.355 -8.35647e-05 8.35647e-05 7.12305e-05 -4.29937e-05
0.356 -8.41044e-05 8.41044e-05 7.17327e-05 -4.32899e-05
0.357 -8.4646e-05 8.4646e-05 7.22371e-05 -4.35874e-05
0.358 -8.51897e-05 8.51897e-05 7.27436e-05 -4.3886e-05
0.359 -8.57353e-05 8.57353e-05 7.32523e-05 -4.41859e-05
0.36 -8.6283e-05 8.6283e-05 7.37631e-05 -4.4487e-05
0.361 -8.68327e-05 8.68327e-05 7.42761e-05 -4.47893e-05
0.362 -8.73845e-05 8.73845e-05 7.47912e-05 -4.50928e-05
0.363 -8.79382e-05 8.79382e-05 7.53085e-05 -4.53976e-05
0.364 -8.8494e-05 8.8494e-05 7.5828e-05 -4.57036e-05
0.365 -8.90518e-05 8.90518e-05 7.63496e-05 -4.60109e-05
0.366 -8.96116e-05 8.96116e-05 7.68734e-05 -4.63193e-05
0.367 -9.01734e-05 9.01734e-05 7.73993e-05 -4.66291e-05
